from	to	r	t	p.value	FDR	significant	group
evm.TU.04.266	evm.TU.01.1021	0.9883347334430987	12.97902206607858	1.016619850526483e-4	0.025448736422633567	FALSE	0
evm.TU.07.138	evm.TU.01.1021	0.9897641454911167	13.870715383354124	7.831142857199307e-5	0.023607336104066273	FALSE	0
evm.TU.07.383	evm.TU.01.1021	0.9934502505901579	17.3884582230902	3.2104168217945076e-5	0.0210527061871057	FALSE	0
evm.TU.08.41	evm.TU.01.1021	0.9892600820094852	13.536120574532099	8.619967762088098e-5	0.023819844249236773	FALSE	0
evm.TU.09.1384	evm.TU.01.1021	0.9913848131413531	15.13778425265083	5.550622555349465e-5	0.0210527061871057	FALSE	0
evm.TU.09.1656	evm.TU.01.1021	0.9920607749510904	15.777127153142082	4.7148365875129594e-5	0.0210527061871057	FALSE	0
evm.TU.10.2279	evm.TU.01.1021	0.9906182851334907	14.497770695735374	6.58059937775457e-5	0.021821267536634156	FALSE	0
novel_gene_3021_5bd9a17a	evm.TU.01.1021	0.991875847236139	15.59434497568044	4.9367341303375214e-5	0.0210527061871057	FALSE	0
novel_gene_3865_5bd9a17a	evm.TU.01.1021	0.9951320362837173	20.195342177365013	1.7743963937144165e-5	0.0210527061871057	FALSE	0
evm.TU.09.138	evm.TU.01.1024	0.9936591537482581	17.6753640044571	3.0091012850069594e-5	0.0997517075979807	FALSE	0
evm.TU.03.2072	evm.TU.01.1027	0.9878612585712337	12.7187984226799	1.1006462462120625e-4	0.2677380710292102	FALSE	0
evm.TU.01.110_evm.TU.01.111_evm.TU.01.113	evm.TU.01.1030	0.9925970355096284	16.345205925639856	4.1001484633876184e-5	0.004210014945478013	TRUE	0
evm.TU.01.114	evm.TU.01.1030	0.9885987120721824	13.13105143105967	9.712151326124226e-5	0.006307185331788909	TRUE	0
evm.TU.01.2496	evm.TU.01.1030	0.9875424279217065	12.551939883319577	1.1591000047937168e-4	0.006734981080485597	TRUE	0
evm.TU.01.2815	evm.TU.01.1030	0.990575726546394	14.464531974286068	6.640343883704713e-5	0.005029478060644915	TRUE	0
evm.TU.01.2939	evm.TU.01.1030	0.9876844455242184	12.625468585794565	1.1328767762412362e-4	0.00670324040882614	TRUE	0
evm.TU.01.2970	evm.TU.01.1030	0.9868121536717885	12.192679062787839	1.2986606286232268e-4	0.006891484244545008	TRUE	0
evm.TU.01.400	evm.TU.01.1030	0.9920287418517774	15.745012639279631	4.7529092007460954e-5	0.004416081780235149	TRUE	0
evm.TU.01.712	evm.TU.01.1030	0.991989223350853	15.705658351586123	4.800088891559944e-5	0.004416081780235149	TRUE	0
evm.TU.01.919	evm.TU.01.1030	0.9966277627369253	24.291557557807078	8.519400861668482e-6	0.003809263818064564	TRUE	0
evm.TU.02.1756	evm.TU.01.1030	0.9957071441762108	21.514936142772235	1.3801680500233927e-5	0.003809263818064564	TRUE	0
evm.TU.02.1832	evm.TU.01.1030	0.9929501702191423	16.754054146146284	3.718748064313502e-5	0.004151596249891209	TRUE	0
evm.TU.02.1892	evm.TU.01.1030	0.994051928439196	18.25503809042065	2.6482056437666984e-5	0.003930642653335043	TRUE	0
evm.TU.02.1940	evm.TU.01.1030	0.9976125606517047	28.891500678954614	4.271497959866466e-6	0.003809263818064564	TRUE	0
evm.TU.02.2043	evm.TU.01.1030	0.9934564711530727	17.396803159311656	3.204328250001394e-5	0.003930642653335043	TRUE	0
evm.TU.02.2282	evm.TU.01.1030	0.9940660181219549	18.276892160680713	2.635686864518554e-5	0.003930642653335043	TRUE	0
evm.TU.02.2512	evm.TU.01.1030	0.9940210071177316	18.207347262798542	2.675783212331314e-5	0.003930642653335043	TRUE	0
evm.TU.02.2642	evm.TU.01.1030	0.993782272932911	17.85116436886318	2.8935002876613956e-5	0.003930642653335043	TRUE	0
evm.TU.02.2831	evm.TU.01.1030	0.9897403327816066	13.854358626526993	7.867559345262168e-5	0.0056646427285887615	TRUE	0
evm.TU.02.3068	evm.TU.01.1030	0.9959536169000294	22.164624971709305	1.2263349067473307e-5	0.003809263818064564	TRUE	0
evm.TU.02.3084	evm.TU.01.1030	0.9958897899025048	21.990797853600714	1.2653010989537011e-5	0.003809263818064564	TRUE	0
evm.TU.02.3112	evm.TU.01.1030	0.9965311920609229	23.949294008498452	9.014036669320233e-6	0.003809263818064564	TRUE	0
evm.TU.03.363	evm.TU.01.1030	0.9911259568028826	14.912440009179338	5.88867772840494e-5	0.004983745923943738	TRUE	0
evm.TU.03.559	evm.TU.01.1030	0.9913687284788578	15.123488496411298	5.571338110733048e-5	0.004867640249272701	TRUE	0
evm.TU.03.59	evm.TU.01.1030	0.9925120028605179	16.251088492663477	4.194761268139325e-5	0.004210014945478013	TRUE	0
evm.TU.03.851	evm.TU.01.1030	0.9963367862160201	23.30172775894243	1.0052062130072205e-5	0.003809263818064564	TRUE	0
evm.TU.03.901	evm.TU.01.1030	0.9910281392458732	14.829824803834672	6.0190168163571716e-5	0.004983745923943738	TRUE	0
evm.TU.04.2117	evm.TU.01.1030	0.9892838111937093	13.551343233099962	8.581987395249532e-5	0.005800722908789071	TRUE	0
evm.TU.04.2166	evm.TU.01.1030	0.9905726732608287	14.462155940927605	6.64464048726229e-5	0.005029478060644915	TRUE	0
evm.TU.04.2443	evm.TU.01.1030	0.9938306224615281	17.921632402278306	2.8487210901427446e-5	0.003930642653335043	TRUE	0
evm.TU.04.357	evm.TU.01.1030	0.9935932971179028	17.583408853250937	3.071863923633366e-5	0.003930642653335043	TRUE	0
